item_name,ing_id,ing_name,ing_weight,ing_price,order_quantity,recipe_quantity,ordered_weight,unit_cost,ingredient_cost
Pizza Parmigiana Large,ING002,Tomato sauce,4500,3.89,10,100,1000,0.000864444444444444,0.864444444444444
Pizza Parmigiana Large,ING003,Mozzarella cheese,2500,14.45,10,200,2000,0.00578,11.56
Pizza Parmigiana Large,ING007,Eggplant,1000,1.9,10,150,1500,0.0019,2.85
Pizza Parmigiana Large,ING008,Parmesan cheese,2500,18.75,10,200,2000,0.0075,15.0
Pizza Quattro Formaggi Reg,ING001,Pizza dough ball (8 pack),2000,4.22,22,250,5500,0.00211,11.605
Pizza Quattro Formaggi Reg,ING002,Tomato sauce,4500,3.89,22,80,1760,0.000864444444444444,1.52142222222222
Pizza Quattro Formaggi Reg,ING003,Mozzarella cheese,2500,14.45,22,170,3740,0.00578,21.6172
Pizza Quattro Formaggi Reg,ING008,Parmesan cheese,2500,18.75,22,150,3300,0.0075,24.75
Pizza Quattro Formaggi Reg,ING009,Gorgonzola cheese,3500,27.64,22,150,3300,0.00789714285714286,26.0605714285714
Pizza Quattro Formaggi Reg,ING010,Ricotta cheese,1500,3.99,22,150,3300,0.00266,8.778
Pizza Quattro Formaggi Large,ING001,Pizza dough ball (8 pack),2000,4.22,39,300,11700,0.00211,24.687
Pizza Quattro Formaggi Large,ING002,Tomato sauce,4500,3.89,39,100,3900,0.000864444444444444,3.37133333333333
Pizza Quattro Formaggi Large,ING003,Mozzarella cheese,2500,14.45,39,200,7800,0.00578,45.084
Pizza Quattro Formaggi Large,ING008,Parmesan cheese,2500,18.75,39,180,7020,0.0075,52.65
Pizza Quattro Formaggi Large,ING009,Gorgonzola cheese,3500,27.64,39,180,7020,0.00789714285714286,55.4379428571429
Pizza Quattro Formaggi Large,ING010,Ricotta cheese,1500,3.99,39,180,7020,0.00266,18.6732
Pizza Napolitana Reg,ING001,Pizza dough ball (8 pack),2000,4.22,14,250,3500,0.00211,7.385
Pizza Napolitana Reg,ING002,Tomato sauce,4500,3.89,14,80,1120,0.000864444444444444,0.968177777777778
Pizza Napolitana Reg,ING003,Mozzarella cheese,2500,14.45,14,170,2380,0.00578,13.7564
Pizza Napolitana Reg,ING011,Anchovies,1000,10.99,14,100,1400,0.01099,15.386
Pizza Napolitana Reg,ING012,Capers,1000,4.16,14,5,70,0.00416,0.2912
Pizza Napolitana Large,ING001,Pizza dough ball (8 pack),2000,4.22,9,300,2700,0.00211,5.697
Pizza Napolitana Large,ING002,Tomato sauce,4500,3.89,9,100,900,0.000864444444444444,0.778
Pizza Napolitana Large,ING003,Mozzarella cheese,2500,14.45,9,200,1800,0.00578,10.404
Pizza Napolitana Large,ING011,Anchovies,1000,10.99,9,50,450,0.01099,4.9455
Pizza Napolitana Large,ING012,Capers,1000,4.16,9,7,63,0.00416,0.26208
Pizza Pepperoni Reg,ING001,Pizza dough ball (8 pack),2000,4.22,10,250,2500,0.00211,5.275
Pizza Pepperoni Reg,ING002,Tomato sauce,4500,3.89,10,80,800,0.000864444444444444,0.691555555555556
Pizza Pepperoni Reg,ING003,Mozzarella cheese,2500,14.45,10,170,1700,0.00578,9.826
Pizza Pepperoni Reg,ING013,Pepperoni,2500,24.18,10,200,2000,0.009672,19.344
Pizza Pepperoni Large,ING001,Pizza dough ball (8 pack),2000,4.22,18,300,5400,0.00211,11.394
Pizza Pepperoni Large,ING002,Tomato sauce,4500,3.89,18,100,1800,0.000864444444444444,1.556
Pizza Pepperoni Large,ING003,Mozzarella cheese,2500,14.45,18,200,3600,0.00578,20.808
Pizza Pepperoni Large,ING013,Pepperoni,2500,24.18,18,240,4320,0.009672,41.78304
Pizza Seafood Reg,ING001,Pizza dough ball (8 pack),2000,4.22,6,250,1500,0.00211,3.165
Pizza Seafood Reg,ING002,Tomato sauce,4500,3.89,6,80,480,0.000864444444444444,0.414933333333333
Pizza Seafood Reg,ING003,Mozzarella cheese,2500,14.45,6,170,1020,0.00578,5.8956
Pizza Seafood Reg,ING014,Shrimp,1000,8.98,6,150,900,0.00898,8.082
Pizza Seafood Reg,ING015,Tuna,2000,7.66,6,150,900,0.00383,3.447
Pizza Seafood Reg,ING016,Calamari,2500,28.77,6,150,900,0.011508,10.3572
Pizza Seafood Large,ING001,Pizza dough ball (8 pack),2000,4.22,2,300,600,0.00211,1.266
Pizza Seafood Large,ING002,Tomato sauce,4500,3.89,2,100,200,0.000864444444444444,0.172888888888889
Pizza Seafood Large,ING003,Mozzarella cheese,2500,14.45,2,200,400,0.00578,2.312
Pizza Seafood Large,ING014,Shrimp,1000,8.98,2,175,350,0.00898,3.143
Pizza Seafood Large,ING015,Tuna,2000,7.66,2,175,350,0.00383,1.3405
Pizza Seafood Large,ING016,Calamari,2500,28.77,2,175,350,0.011508,4.0278
Pizza Hawaiian Reg,ING001,Pizza dough ball (8 pack),2000,4.22,1,250,250,0.00211,0.5275
Pizza Hawaiian Reg,ING002,Tomato sauce,4500,3.89,1,80,80,0.000864444444444444,0.0691555555555556
Pizza Hawaiian Reg,ING003,Mozzarella cheese,2500,14.45,1,170,170,0.00578,0.9826
Pizza Hawaiian Reg,ING017,Ham,5000,32.45,1,130,130,0.00649,0.8437
Pizza Hawaiian Reg,ING018,Pineapple,5000,6.23,1,100,100,0.001246,0.1246
Pizza Hawaiian Large,ING001,Pizza dough ball (8 pack),2000,4.22,6,300,1800,0.00211,3.798
Pizza Hawaiian Large,ING002,Tomato sauce,4500,3.89,6,100,600,0.000864444444444444,0.518666666666667
Pizza Hawaiian Large,ING003,Mozzarella cheese,2500,14.45,6,200,1200,0.00578,6.936
Pizza Hawaiian Large,ING017,Ham,5000,32.45,6,150,900,0.00649,5.841
Pizza Hawaiian Large,ING018,Pineapple,5000,6.23,6,120,720,0.001246,0.89712
Garlic Bread,ING001,Pizza dough ball (8 pack),2000,4.22,17,250,4250,0.00211,8.9675
Garlic Bread,ING019,Garlic and parsley butter,3000,52.1,17,15,255,0.0173666666666667,4.4285
Chicken Wings,ING020,Chicken wings,6000,69.83,30,120,3600,0.0116383333333333,41.898
Breadsticks,ING001,Pizza dough ball (8 pack),2000,4.22,46,250,11500,0.00211,24.265
Caesar Salad,ING021,Rotisserie chicken pieces,5000,34.45,37,120,4440,0.00689,30.5916
Caesar Salad,ING022,Croutons,1250,5.25,37,50,1850,0.0042,7.77
Caesar Salad,ING023,Romain lettuce,7500,13.72,37,100,3700,0.00182933333333333,6.76853333333333
Caesar Salad,ING024,Caesar dressing,3800,17.98,37,20,740,0.00473157894736842,3.50136842105263
Vanilla Ice cream,ING025,Vanilla ice cream,4500,15.45,8,100,800,0.00343333333333333,2.74666666666667
Chocolate Ice cream,ING026,Chocolate ice cream,4500,15.45,37,100,3700,0.00343333333333333,12.7033333333333
Strawberry Ice cream,ING027,Strawberry ice cream,4500,15.45,9,100,900,0.00343333333333333,3.09
Pistachio Ice cream,ING028,Pistachio ice cream,4500,15.45,6,100,600,0.00343333333333333,2.06
Chocolate Brownie,ING029,Chocolate brownie,2500,4.45,43,75,3225,0.00178,5.7405
Banoffee Pie,ING030,Banoffee pie,1200,1.15,35,120,4200,0.000958333333333333,4.025
Fruit Salad,ING031,Fruit salad,5000,7.12,19,150,2850,0.001424,4.0584
Coca Cola Regular 33cl,ING032,Coca Cola Regular 33cl,1,0.41,14,1,14,0.41,5.74
Coca Cola Regular 1.5l,ING033,Coca Cola Regular 1.5l,1,0.96,10,1,10,0.96,9.6
Coca Cola Diet 33cl,ING034,Coca Cola Diet 33cl,1,0.41,8,1,8,0.41,3.28
Coca Cola Diet 1.5l,ING035,Coca Cola Diet 1.5l,1,0.96,1,1,1,0.96,0.96
Sprite Regular 33cl,ING036,Sprite Regular 33cl,1,0.41,3,1,3,0.41,1.23
Sprite Regular 1.5l,ING037,Sprite Regular 1.5l,1,0.96,11,1,11,0.96,10.56
Sprite Diet 33cl,ING038,Sprite Diet 33cl,1,0.41,1,1,1,0.41,0.41
Fanta Regular 33cl,ING040,Fanta Regular 33cl,1,0.41,29,1,29,0.41,11.89
Fanta Regular 1.5l,ING041,Fanta Regular 1.5l,1,0.96,6,1,6,0.96,5.76
Fanta Diet 1.5l,ING043,Fanta Diet 1.5l,1,0.96,2,1,2,0.96,1.92
San Pelligrino 33cl,ING044,San Pelligrino 33cl,1,0.36,4,1,4,0.36,1.44
San Pelligrino 1.5l,ING045,San Pelligrino 1.5l,1,0.86,9,1,9,0.86,7.74
Perrier 33cl,ING046,Perrier 33cl,1,0.36,3,1,3,0.36,1.08
Perrier 1.5l,ING047,Perrier 1.5l,1,0.86,10,1,10,0.86,8.6
